"UserName";"EmployeeNumber";"Person_number";"Initials";"NickName";"FirstName";"NamePrefix";"LastName";"Geboortedatum";"Geslacht_code";"Burgerlijke_staat";"PartnerNamePrefix";"PartnerName";"Naamgebruik_code";"Straat";"Straat_toevoeging";"Huisnummer";"Huisnummer_toevoeging";"Postcode";"Woonplaats";"Land";"Mobiel_prive";"Mobiel_werk";"Telefoonnr_prive";"Telefoonnr_werk";"Email_prive";"Email_werk";"Geblokkeerd";"Excluded"
"AmirA";"72084";"324323754";"A.";"Amir";"Amir";"";"Atkinson";"6-8-1968";"M";"";"";"";"0";"P.O. Box 913, 7519 Nisl Avenue";"";"21";"";"9708EI";"Kenosha";"EN";"";"";"";"";"";"Amir.Atkinson@enyoi.com";"FALSE";"0"
"BethanyC";"80613";"159383380";"B.";"Bethany";"Bethany";"";"Chen";"3-8-1990";"V";"";"";"";"0";"Ap #488-9815 Elit, St.";"";"43";"B";"5803MD";"Lexington";"EN";"";"";"";"";"";"Bethany.Chen@enyoi.com";"FALSE";"0"
"BiancaM";"18003";"907675508";"B.";"Bianca";"Bianca";"";"Munoz";"24-3-1982";"V";"";"";"Hartman";"1";"6227 In Street";"";"19";"";"9338YX";"Covington";"EN";"";"";"";"";"";"Bianca.Munoz@enyoi.com";"FALSE";"0"
"BrianS";"79280";"864661085";"B.";"Brian";"Brian";"";"Schwartz";"27-7-1973";"M";"";"";"";"0";"377-9037 Sociis Avenue";"";"25";"";"4350RP";"Honolulu";"EN";"";"";"";"";"";"Brian.Schwartz@enyoi.com";"FALSE";"0"
"BurtonL";"73291";"876844523";"B.";"Burton";"Burton";"";"Lucas";"17-12-1978";"M";"";"";"";"0";"P.O. Box 805, 3567 Mauris Av.";"";"27";"";"4849BW";"Savannah";"EN";"";"";"";"";"";"Burton.Lucas@enyoi.com";"FALSE";"1"
"ClaireS";"79937";"932397030";"C.";"Claire";"Claire";"";"Sweeney";"1-10-1965";"V";"";"";"";"0";"4033 Mauris St.";"";"86";"";"1101FC";"Rockville";"EN";"";"";"";"";"";"Claire.Sweeney@enyoi.com";"FALSE";"0"
"GabrielL";"17649";"759839435";"G.";"Gabriel";"Gabriel";"";"Landry";"23-12-1984";"M";"";"";"";"0";"253-2645 Ante Ave";"";"49";"";"3221OB";"Atlanta";"EN";"";"";"";"";"";"Gabriel.Landry@enyoi.com";"FALSE";"0"
"HollyM";"96505";"345103367";"H.";"Holly";"Holly";"van";"Medina";"19-12-1972";"V";"";"de";"Foster";"0";"5026 Quam St.";"";"50";"";"3757VK";"Tuscaloosa";"EN";"";"";"";"";"";"Holly.Medina@enyoi.com";"FALSE";"0"
"JessicaS";"53213";"295355116";"J.";"Jessica";"Jessica";"";"Skinner";"11-5-1966";"V";"";"";"";"0";"Ap #114-3022 Dolor Ave";"";"77";"";"5735ZT";"Chesapeake";"EN";"";"";"";"";"";"Jessica.Skinner@enyoi.com";"FALSE";"1"
"KaitlinH";"44727";"644717422";"K.";"Kaitlin";"Kaitlin";"";"Hicks";"14-8-1981";"V";"";"";"";"0";"Ap #142-1247 Non Road";"";"29";"";"4704EF";"Biloxi";"EN";"";"";"";"";"";"Kaitlin.Hicks@enyoi.com";"FALSE";"0"
"KatoB";"71173";"587030993";"K.";"Kato";"Kato";"";"Barnett";"3-9-1990";"M";"";"";"";"0";"780-6955 Semper Av.";"";"26";"";"5550XO";"Philadelphia";"EN";"";"";"";"";"";"Kato.Barnett@enyoi.com";"FALSE";"0"
"KennanR";"70818";"439194920";"K.";"Kennan";"Kennan";"";"Randolph";"4-6-1993";"M";"";"";"";"0";"4783 Placerat. Ave";"";"56";"";"8433NS";"Spokane";"EN";"";"";"";"";"";"Kennan.Randolph@enyoi.com";"FALSE";"0"
"LacotaB";"35254";"903679238";"L.";"Lacota";"Lacota";"";"Brooks";"16-1-1977";"V";"";"";"Wehl";"1";"696-2017 At, Av.";"";"28";"";"5919DZ";"Cambridge";"EN";"";"";"";"";"";"Lacota.Brooks@enyoi.com";"FALSE";"0"
"LeonardP";"62332";"788557226";"L.";"Leonard";"Leonard";"";"Petty";"7-9-1973";"M";"";"";"";"0";"Ap #101-7933 Sodales. Rd.";"";"8";"";"7403RE";"Hattiesburg";"EN";"";"";"";"";"";"Leonard.Petty@enyoi.com";"FALSE";"0"
